Plataform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject,Certificate
EDX,Harvard University,Introduction to Digital Humanities,Introductory,0,English,0.0,37501,Self-paced on your time,Humanities,99
EDX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Industry,Intermediate,0,English,0.0,103704,Self-paced on your time,Language,50
EDX,United Arab Emirates University,EmSAT English Preparation - Level 1,Introductory,0,English,0.0,29101,Self-paced on your time,Language,49
EDX,"The University of California, San Diego",Python for Data Science,Advanced,0,English,0.0,266978,Self-paced on your time,Data Analysis & Statistics,350
EDX,"University of California, Berkeley",Empathy and Emotional Intelligence at Work,Introductory,0,English,0.0,45867,Self-paced on your time,Business & Management,199
EDX,The University of Queensland,Design Thinking and Creativity for Innovation,Intermediate,0,English,0.0,47549,Self-paced on your time,Business & Management,5
EDX,Harvard University,China and Communism,Introductory,0,English,0.0,69104,Self-paced on your time,History,139
EDX,MandarinX,Mandarin Chinese Level 1,Introductory,0,English,0.0,56040,Self-paced on your time,Language,149
EDX,Massachusetts Institute of Technology,Introduction to Biology - The Secret of Life,Introductory,0,English,0.0,147512,Instructor-led on a course schedule,Biology & Life Sciences,150
EDX,Pontificia Universidad Javeriana,Photoshop: una herramienta para presentaciones innovadoras,Introductory,0,Español,0.0,22969,Self-paced on your time,Art & Culture,19
EDX,Harvard University,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Introductory,0,English,0.0,50949,Self-paced on your time,Data Analysis & Statistics,99
EDX,Tsinghua University,生活英语听说 | Conversational English Skills,Introductory,0,English,0.0,301585,Self-paced on your time,Communication,49
EDX,Harvard University,Shakespeare’s Othello: The Moor,Introductory,0,English,0.0,31868,Self-paced on your time,Humanities,49
EDX,Universitat Politècnica de Valencia,Basic Spanish 2: One Step Further,Introductory,0,English,0.0,67687,Self-paced on your time,Language,50
EDX,The International Monetary Fund,Financial Market Analysis,Intermediate,0,English,0.0,37452,Self-paced on your time,Economics & Finance,25
EDX,Harvard University,CS50's Computer Science for Business Professionals,Introductory,0,English,0.0,73208,Self-paced on your time,Computer Science,90
EDX,Inter-American Development Bank,Gobierno Digital,Introductory,0,Español,0.0,18883,Self-paced on your time,Social Sciences,25
EDX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Globalization,Intermediate,0,English,0.0,58532,Self-paced on your time,Language,50
EDX,Harvard University,The Opioid Crisis in America,Introductory,0,English,0.0,54805,Self-paced on your time,Medicine,99
EDX,Inter-American Development Bank,Gestión de Proyectos de Desarrollo,Introductory,0,Español,0.0,306286,Self-paced on your time,Business & Management,49
EDX,Stanford University,Statistical Learning,Introductory,0,English,0.0,27968,Self-paced on your time,Data Analysis & Statistics,50
