Platform,Institution,Title,Level,Price,Language,Rating,n_Students,Type,Subject
edX,The University of Michigan,Programación para todos (empezando con Python),Beginner,49.0,Español,3,81004,Self-paced on your time,Computer Science
edX,Davidson College,Analyzing and Visualizing Data with Power BI,Beginner,99.0,English,5,28879,Self-paced on your time,Data Analysis & Statistics
edX,Harvard University,High-Dimensional Data Analysis,Advanced,149.0,English,5,78443,Self-paced on your time,Data Analysis & Statistics
edX,Berklee College of Music,Introduction To Music Theory,Beginner,49.0,English,5,67029,Self-paced on your time,Humanities
edX,The Hong Kong Polytechnic University,Human Anatomy,Beginner,139.0,English,5,126850,Self-paced on your time,Medicine
edX,Harvard University,"CitiesX: The Past, Present and Future of Urban Life",Beginner,99.0,English,1,76874,Self-paced on your time,Social Sciences
edX,Harvard University,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,Beginner,99.0,English,3,24208,Self-paced on your time,Philosophy & Ethics
edX,Massachusetts Institute of Technology,Entrepreneurship 101: Who is your customer?,Beginner,49.0,English,1,41838,Self-paced on your time,Business & Management
edX,Harvard University,"U.S. Public Policy: Social, Economic, and Foreign Policies",Beginner,49.0,English,4,44045,Self-paced on your time,Social Sciences
edX,Massachusetts Institute of Technology,Machine Learning with Python: from Linear Models to Deep Learning,Advanced,300.0,English,5,85561,Instructor-led on a course schedule,Computer Science
edX,IBM,Introduction to Data Science,Beginner,39.0,English,3,43766,Self-paced on your time,Data Analysis & Statistics
edX,Massachusetts Institute of Technology,Circuits and Electronics 1: Basic Circuit Analysis,Beginner,169.0,English,4,52639,Self-paced on your time,Electronics
edX,Indian Institute of Management Bangalore,Introduction to Investments,Intermediate,50.0,English,4,91788,Self-paced on your time,Business & Management
edX,Harvard University,Improving Your Business Through a Culture of Health,Beginner,99.0,English,4,54136,Self-paced on your time,Business & Management
edX,Harvard University,Introduction to Linear Models and Matrix Algebra,Intermediate,149.0,English,5,92004,Self-paced on your time,Math
edX,Indian Institute of Management Bangalore,DO Your Venture: Entrepreneurship For Everyone,Beginner,150.0,English,1,61989,Self-paced on your time,Business & Management
edX,Inter-American Development Bank,El valor de la creatividad y la innovación: La Economía Naranja,Beginner,25.0,Español,5,23728,Self-paced on your time,Art & Culture
edX,Harvard University,Humanitarian Response to Conflict and Disaster,Beginner,99.0,English,4,119891,Self-paced on your time,Health & Safety
edX,Harvard University,"Women Making History: Ten Objects, Many Stories",Beginner,99.0,English,4,38939,Self-paced on your time,History
edX,Harvard University,Masterpieces of World Literature,Beginner,149.0,English,3,88789,Self-paced on your time,Literature
edX,IBM,SQL for Data Science,Beginner,39.0,English,4,39184,Self-paced on your time,Data Analysis & Statistics
edX,Universidad del Rosario,El cerebro y las emociones en el lenguaje,Beginner,49.0,Español,4,41279,Self-paced on your time,Communication
edX,Harvard University,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),Beginner,169.0,English,3,62673,Self-paced on your time,Physics
edX,Universitat Politècnica de Valencia,Python: aprender a programar,Beginner,49.0,Español,4,21613,Self-paced on your time,Computer Science
edX,"University of California, Berkeley",Marketing Analytics: Competitive Analysis and Market Segmentation,Intermediate,249.0,English,4,70682,Self-paced on your time,Computer Science
edX,Harvard University,MalariaX: Defeating Malaria from the Genes to the Globe,Intermediate,49.0,English,4,37598,Self-paced on your time,Biology & Life Sciences
edX,Harvard University,Entrepreneurship in Emerging Economies,Beginner,125.0,English,2,113602,Self-paced on your time,Business & Management
edX,The World Wide Web Consortium (W3C),JavaScript Introduction,Beginner,199.0,English,2,160112,Self-paced on your time,Computer Science
edX,Indian Institute of Management Bangalore,People Management,Beginner,150.0,English,5,113592,Self-paced on your time,Business & Management
edX,University of Washington,Using Email for Networking in English,Beginner,149.0,English,3,57208,Self-paced on your time,Language
edX,Stanford University,Databases: Relational Databases and SQL,Beginner,50.0,English,5,20502,Self-paced on your time,Computer Science
edX,Dartmouth_IMTx-Dartmouth College-IMT,C Programming: Getting Started,Beginner,49.0,English,5,104108,Self-paced on your time,Computer Science
edX,Massachusetts Institute of Technology,Supply Chain Analytics,Beginner,199.0,English,1,145049,Instructor-led on a course schedule,Business & Management
edX,University of Pennsylvania,Programming for the Web with JavaScript,Intermediate,149.0,English,5,91406,Self-paced on your time,Computer Science
edX,Harvard University,Introduction to Digital Humanities,Beginner,99.0,English,4,37501,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Industry,Intermediate,50.0,English,3,103704,Self-paced on your time,Language
edX,United Arab Emirates University,EmSAT English Preparation - Level 1,Beginner,49.0,English,4,29101,Self-paced on your time,Language
edX,"The University of California, San Diego",Python for Data Science,Advanced,350.0,English,2,266978,Self-paced on your time,Data Analysis & Statistics
edX,"University of California, Berkeley",Empathy and Emotional Intelligence at Work,Beginner,199.0,English,4,45867,Self-paced on your time,Business & Management
edX,The University of Queensland,Design Thinking and Creativity for Innovation,Intermediate,5.0,English,3,47549,Self-paced on your time,Business & Management
edX,Harvard University,China and Communism,Beginner,139.0,English,1,69104,Self-paced on your time,History
edX,MandarinX,Mandarin Chinese Level 1,Beginner,149.0,English,5,56040,Self-paced on your time,Language
edX,Massachusetts Institute of Technology,Introduction to Biology - The Secret of Life,Beginner,150.0,English,5,147512,Instructor-led on a course schedule,Biology & Life Sciences
edX,Pontificia Universidad Javeriana,Photoshop: una herramienta para presentaciones innovadoras,Beginner,19.0,Español,4,22969,Self-paced on your time,Art & Culture
edX,Harvard University,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Beginner,99.0,English,5,50949,Self-paced on your time,Data Analysis & Statistics
edX,Tsinghua University,生活英语听说 | Conversational English Skills,Beginner,49.0,English,5,301585,Self-paced on your time,Communication
edX,Harvard University,Shakespeare’s Othello: The Moor,Beginner,49.0,English,5,31868,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,Basic Spanish 2: One Step Further,Beginner,50.0,English,2,67687,Self-paced on your time,Language
edX,The International Monetary Fund,Financial Market Analysis,Intermediate,25.0,English,5,37452,Self-paced on your time,Economics & Finance
edX,Harvard University,CS50's Computer Science for Business Professionals,Beginner,90.0,English,2,73208,Self-paced on your time,Computer Science
edX,Inter-American Development Bank,Gobierno Digital,Beginner,25.0,Español,4,18883,Self-paced on your time,Social Sciences
edX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Globalization,Intermediate,50.0,English,5,58532,Self-paced on your time,Language
edX,Harvard University,The Opioid Crisis in America,Beginner,99.0,English,4,54805,Self-paced on your time,Medicine
edX,Inter-American Development Bank,Gestión de Proyectos de Desarrollo,Beginner,49.0,Español,2,306286,Self-paced on your time,Business & Management
edX,Stanford University,Statistical Learning,Beginner,50.0,English,5,27968,Self-paced on your time,Data Analysis & Statistics
edX,The University of Queensland,Introduction to Social Psychology,Beginner,99.0,English,4,79365,Self-paced on your time,Humanities
edX,Columbia University,Artificial Intelligence (AI),Advanced,249.0,English,4,265104,Instructor-led on a course schedule,Computer Science
edX,Harvard University,American Government: Constitutional Foundations,Beginner,49.0,English,5,35504,Self-paced on your time,Social Sciences
edX,Universitat Politècnica de Valencia,Introducción a la inversión bursátil,Beginner,50.0,Español,4,64261,Self-paced on your time,Economics & Finance
edX,Harvard University,Japanese Books: From Manuscript to Print,Beginner,100.0,English,3,17581,Self-paced on your time,Art & Culture
edX,Massachusetts Institute of Technology,Foundations of Modern Finance  I,Advanced,450.0,English,2,24108,Instructor-led on a course schedule,Economics & Finance
edX,Indian Institute of Management Bangalore,Operations Management,Intermediate,150.0,English,5,126093,Self-paced on your time,Business & Management
edX,Indian Institute of Management Bangalore,Marketing Management,Intermediate,150.0,English,1,80010,Self-paced on your time,Business & Management
edX,Universidad Nacional de Córdoba,Marketing enfocado en la estrategia de servicios,Beginner,119.0,Español,4,24618,Self-paced on your time,Business & Management
edX,University of British Columbia,Introduction to Marketing,Beginner,150.0,English,4,169126,Self-paced on your time,Business & Management
edX,IITBombay,Programming Basics,Beginner,149.0,English,5,215059,Self-paced on your time,Computer Science
edX,"The University of California, San Diego",Probability and Statistics in Data Science using Python,Advanced,350.0,English,2,106286,Self-paced on your time,Data Analysis & Statistics
edX,The World Wide Web Consortium (W3C),HTML5 Coding Essentials and Best Practices,Intermediate,199.0,English,5,241287,Self-paced on your time,Computer Science
edX,Harvard University,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,Beginner,49.0,English,5,37426,Self-paced on your time,Humanities
edX,Harvard University,Cell Biology: Mitochondria,Beginner,99.0,English,5,64142,Self-paced on your time,Biology & Life Sciences
edX,Stanford University,"Algorithms: Design and Analysis, Part 1",Intermediate,149.0,English,2,20163,Self-paced on your time,Computer Science
edX,Universitat Politècnica de Valencia,Introducción al Office 365,Beginner,75.0,Español,3,16470,Self-paced on your time,Computer Science
edX,Imperial College London,Creative Thinking: Techniques and Tools for Success,Beginner,49.0,English,3,54787,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,Upper-Intermediate English: Business and Technology,Intermediate,50.0,English,5,47451,Self-paced on your time,Language
edX,Harvard University,Shakespeare's Hamlet: The Ghost,Beginner,49.0,English,5,38331,Self-paced on your time,Humanities
edX,Universitat Politècnica de Valencia,FlashDiet: Aprende a comer sano,Beginner,50.0,Español,3,48105,Self-paced on your time,Food & Nutrition
edX,Harvard University,CS50's Understanding Technology,Beginner,90.0,English,4,50030,Self-paced on your time,Computer Science
edX,Delft University of Technology,Introduction to Aerospace Structures and Materials,Beginner,50.0,English,3,37126,Self-paced on your time,Engineering
edX,IBM,Visualizing Data with Python,Intermediate,39.0,English,5,42101,Self-paced on your time,Data Analysis & Statistics
edX,The Hong Kong Polytechnic University,Success: Practical Thinking Skills,Beginner,50.0,English,1,24414,Self-paced on your time,Philosophy & Ethics
edX,The Hong Kong University of Science and Technology,English for Doing Business in Asia – Speaking,Beginner,60.0,English,5,68422,Self-paced on your time,Humanities
edX,Wageningen University & Research,Nutrition and Health: Macronutrients and Overnutrition,Beginner,99.0,English,4,208582,Self-paced on your time,Biology & Life Sciences
edX,Harvard University,"Contemporary China: The People's Republic, Taiwan, and Hong Kong",Beginner,139.0,English,3,66771,Self-paced on your time,History
