Plataform,course_id,Institution,Title,Level,Price,Language,Rating
Coursera,excel-vba-for-creative-problem-solving-part-1,University of Colorado Boulder,"Excel/VBA for Creative Problem Solving, Part 1",Unknown,0,English,4.29
Coursera,international-taxation,Universiteit Leiden,Rethinking International Tax Law,Unknown,0,English,5.0
Coursera,probability-intro,Duke University,Introduction to Probability and Data with R,Unknown,0,English,4.0
Coursera,understanding-visualization-data,University of Michigan,Understanding and Visualizing Data with Python,Unknown,0,English,3.6
Coursera,data-visualization-tableau,"University of California, Davis",Fundamentals of Visualization with Tableau,Unknown,0,English,3.0
Coursera,sas-programming-basics,SAS,Getting Started with SAS Programming,Unknown,0,English,5.0
Coursera,uol-machine-learning-for-all,University of London,Machine Learning for All,Unknown,0,English,4.2
Coursera,python-databases,University of Michigan,Using Databases with Python,Unknown,0,English,4.7
Coursera,dino101,University of Alberta,Dino 101: Dinosaur Paleobiology,Unknown,0,English,5.0
Coursera,sports-marketing,Northwestern University,Sports Marketing,Unknown,0,English,4.78
Coursera,matlab,Vanderbilt University,Introduction to Programming with MATLAB,Unknown,0,English,4.74
Coursera,managing-human-resources,University of Minnesota,Preparing to Manage Human Resources,Unknown,0,English,3.4
Coursera,solar-energy-basics,The State University of New York,Solar Energy Basics,Unknown,0,English,4.09
Coursera,bootstrap-4,The Hong Kong University of Science and Technology,Front-End Web UI Frameworks and Tools: Bootstrap 4,Unknown,0,English,4.67
Coursera,google-cloud-java-spring,Google Cloud,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Unknown,0,English,4.0
Coursera,forensic-science,"Nanyang Technological University, Singapore",Introduction to Forensic Science,Unknown,0,English,4.82
Coursera,google-cloud-product-fundamentals,Google Cloud,Google Cloud Product Fundamentals,Unknown,0,English,1.0
Coursera,contracts-1,Yale University,American Contract Law I,Unknown,0,English,5.0
Coursera,engineering-health-yoga-physiology,New York University,Engineering Health: Introduction to Yoga and Physiology,Unknown,0,English,5.0
Coursera,ai-for-medical-diagnosis,DeepLearning.AI,AI for Medical Diagnosis,Unknown,0,English,1.0
Coursera,electronics,Georgia Institute of Technology,Introduction to Electronics,Unknown,0,English,3.55
Coursera,international-humanitarian-law,Universiteit Leiden,International Humanitarian Law in Theory and Practice,Unknown,0,English,4.91
Coursera,making-architecture,IE School of Architecture & Design,Making Architecture,Unknown,0,English,4.87
Coursera,model-thinking,University of Michigan,Model Thinking,Unknown,0,English,4.85
Coursera,dyslexia-difficulties,University of London,Supporting children with difficulties in reading and writing,Unknown,0,English,4.67
Coursera,innovation-management,Erasmus University Rotterdam,Innovation Management,Unknown,0,English,4.05
Coursera,people-management,"Birkbeck, University of London",The Manager's Toolkit: A Practical Guide to Managing People at Work,Unknown,0,English,4.33
Coursera,modern-world,University of Virginia,"The Modern World, Part One: Global History from 1760 to 1910",Unknown,0,English,4.42
